第一课
1.到一年了		いちねんになります
37.可以听听比较安静的音乐	しずかなおんがくをきくといいです
38.悠闲度过一天				いちにちゆっくりすごします
39.戴口罩的人也在增加		マスクをするひともふえています
40.我尽可能多吃蔬菜			できるだけやさいをたくさんたべるようにしています
41.为了健康我尽量不吃太多	けんこうのためにたべすぎないようにしています
42.我尽量不要积攒太多压力	私はストレスをためないようにしています
43.睡不着应该怎么办			よくねむれないときどうすればいいですか
44.为了健康在注意什么呢		けんこうのためになにかきをつけていますか
45.食品要充分加热			しょくひんはじゅうぶんなかねつです
46.手机屏幕看太久眼睛痒		スマホのがめんをみすぎてめがいたくなりました
47.烹饪之后好好洗个手		ちょうりのぜんごはせっけんでてをよくあらいしょう
48.怎样才能预防感染			どうしたらかんせんをよぼうできるでしょうか
49.一感染诺瓦克病毒，出现怎么症状	
アイレスにかんせんすると　どんなしょうじょうができますか
50.你看起来不舒服的样子		ぐあいがわるいそうです
51.我尝试一下				ためしてみます
52.睡不着的时候，可以好好泡个温水澡		
よくねむれないときはぬるい(温热的)おふろにゆっくりはいるといいですよ
53.为了不忘记，记录一下吧	わすれないようにめもをしましょう
54.一到冬天得流感的人增加	
ふゆになると　インフルエンザのひとがおおくふえています
55.好好漱口				しっかり(认真的)うがい(漱口)をしましょう
56.预防方法写在哪里		よぼうほうほうはどこにかいてありますか
57.食物中毒在增加		しょくちゅうどくがふえています
58.怎样做可以预防呢		どうしたらよぼうできますか
59.最近流行的疾病			さいきんりゅうこうしているびょうきです
60.食品要充分加热到中心部位	
しょくひんはちゅうしんぶまでしゅうぶんにかねつしましょう
61.困的时候可以洗洗脸		ねむいとき　かおをあらうといいです
62.尽量不去人多的地方		ひとがおおいところにできるだけいかないでください
63.宿醉时干什么呢			ふつかよいときはなにをしますか
64.为了健康在减肥			けんこうために　ダイエットをしています
65.你觉得是什么意思			どんないみだとおもいます（觉得）か
66.在运动中，慢跑喝散步那个好
スポーツで　ジョギングと　ウオーキング（walking）と　どちらがいいとおもいますか
67.睡前做个瑜伽会很好		ねるまえにヨガをするとくねむれますよ
68.吃宿醉药也是不错的选择	ふつかよいのくすりをのもむかなあけっこういいですよ
69.最近后背有点不舒服		さいきんせなかのちょうしがわるいんです
70.宿醉的时候，睡觉是最好的	
ふつかよいのとき　ねるのがいちばんいいですよ

第17课
1.你带什么去呢			なにをもってまうか
2.拜访别人家时			ほかのひとのいえをほうもんしたとき
3.哥哥给我的护身符		あにがくれたおもりです
4.经常给你添麻烦		いつもおせわになっています
5.可以坐的随意点		あしをくおしてもいいですか　（语句有点小问题）
6.放松做				ちくにしてね
7.请随时来玩			しつてもあそびにきてください
8.带来土产				おみやげをわたすとき
9.从尼泊尔带来装饰品	ネパールから　もってきたかざりです
10.我能进来吗			ごめんください
11.打扰了（离开）		おじゃましました
12.欢迎					いらっしゃい　（ようこそ）
13.挂在墙上				かべにかける
14.进来					はいってくる
15.是不是很棒			いいでしょう
16.帮我问好				よるしくおつたえください
17.自己带的东西			じぶんのもちもの
18.那个马克杯很可爱		そのマグカップ　かわいいですね
19.这个叫钥匙圈			これはキーホルダーといいます
20.这是得到耳坠			これはもらたピアスです			
21.这是我做的菜不嫌弃请尝尝		
わたしがつくったりょうりです　よかったら　どうそ
22.生日时，收到什么礼物		たんじょうびになにかもらいましたか
23.这个点心是妹妹做的		このおかし　いもうとをつくたんです
24.帮我给父母问好			おとうさん　おかあさんによるしくおつたえください
25.这个从中国带来的礼物		これはちゅうごくからもってきたプレゼントです
26.不好的东西进不来			わるいものがはいってきません
27.这个给社长的礼物				これしゃちょうにプレゼントです
28.这是日料使用的调味料			これにほんりょうりにつかうちょうみりょうです
29.这是生日宴会准备的蛋糕		
これはたんじょうびのパーティーのためによういしたケーキです
30.请给家人带个好		かぞくによろしくつたえください
31.是在网上买的			ネットで　かったんです
32.从谁哪里得到的		だれにもらったんですか
33.什么时候使用的		どんなときにつかいますか
34.受到朋友的邀请		ともだちにしょうたいされています	
35.是我生日时爸爸给我的	ちちがたんじょうびにくれました
36.有各种各样的坐姿		すわりかたがいろいろあります
37.换个舒服坐姿			ちくなすわりかたにかえましょう
38.护身符可以神社寺庙购买	おもりじんじゃ　や　おてら　で　かうことができます
