１．運ぶ（はこぶ）　　荷物を運ぶ       ピアノを運ぶ          人を運ぶ
１７３．珍しい（めずらしい）　珍しい鳥がいる           　珍しい本を見つけた（みつけた）        彼女は珍しい名前だ
    珍贵               有珍稀的鸟。                   找到了稀奇的书。               她的名字很独特。
１７４．迎える（むかえる）彼を駅で迎える              新年を迎える                    　客を迎える（きゃく）
    迎接               在车站迎接他。                 迎接新年。                     迎接客人。
１７５．通う（かよう）　　毎日学校に通う            彼は仕事に通っている              　　週に三回ジムに通う
    上学               每天上学。                     他上班。                       每周去三次健身房。
１７６．どんどん        どんどん暖かくなる         どんどん進む（すすむ）               どんどん食べる
    越来越             越来越暖和。                   不断前进。                     不断吃。
１７７．すっと     　　彼はすっと立った（すっとたった）すっと手を挙げる（あげる）           彼女はすっと消えた（きえた）
    突然               他突然站了起来。               高高举起手。                   她突然消失了。
１７８．久しぶり（ひさしぶり）　ひさしぶりの再会（さいかい）　久しぶりに会った             　久しぶりの休暇（きゅうか）
    好久不见           久违的重逢。                   好久不见。                   久违的假期。
１７９．楽しみ（たのしみ）旅行は楽しみです           楽しみにしています                  楽しみなイベント（期待的活动）
    期待               旅行很期待。                   期待着。                     期待的活动。
１８０．続ける（つづける）勉強を続ける             　仕事を続ける                     　運動を続ける
    继续               继续学习。                     继续工作。                     继续运动。
１８１．慣れる（なれる）この仕事に慣れる            新しい環境に慣れる（かんきょう）        早起きに慣れる（はやおきになれる）
    适应               适应这份工作。                 适应新的环境。                 适应早起。
１８２．沸く（わく）　　お湯が沸いた              　鍋が沸いている                      沸く水を注ぐ（そそぐ）
    沸腾               水开了。                       锅在煮。                       倒入开水。
１８３．踊る（おどる）　彼女は踊るのが上手です      パーティーで踊りましょう          　　子供たちは踊っている（おどっている）
    跳舞               她跳舞很棒。                   一起在派对上跳舞吧。           孩子们在跳舞。
１８４．考える（かんがえる）　彼は何を考えている？　　　計画を考える必要がある（けいかくを）  　その問題を考えてみよう
    思考               他在想什么？                   需要考虑计划。               我们来想想这个问题。
１８５．空く（あく）   席が空いた                  部屋が空いた                      時間が空く
    空               有座位空着。                   房间空着。                     有时间空出来。
１８６．滑る（すべる）　道が滑る              　氷で滑る（こおりで）                滑って転ぶ（すべってころぶ）
    滑倒               路滑。                         在冰上滑。                     滑倒了。
１８７．偶に（たまに）　たまに映画を見る            たまに外食する（がいしょく）      　　　たまに運動する
    偶尔               偶尔看电影。                   偶尔外出就餐。                   偶尔运动。
１８８．尋ねる（たずねる）道を尋ねる              名前を尋ねる                      　時間を尋ねる
    询问               询问道路。                     询问名字。                     询问时间。
１８９．選ぶ（えらぶ）　服を選ぶ                　映画を選ぶ                         食べ物を選ぶ
    选择               选择衣服。                     选择电影。                     选择食物。
１９０．乾く（かわく）　洗濯物が乾く（せんたくもの）髪が乾く                     　　　土が乾く（つちが）
    干燥               衣物干了。                     头发干了。                     土壤干了。
１９１．特に（とくに）　特に問題はない         　　彼は特に速い                    　特に好きな食べ物
    特别               特别没问题。                   他特别快。                     特别喜欢的食物。
１９２．興味（きょうみ）彼は音楽に興味がある      　彼女は料理に興味を持った          私は旅行に興味がある
    兴趣               他对音乐感兴趣。               她对料理产生了兴趣。           我对旅行感兴趣。
１９３．拾う（ひろう）　落ちたペンを拾う（おちたぺん）道でお金を拾う                  　犬がボールを拾う
    捡拾               捡起掉落的笔。                 在路上捡到钱。                 狗捡起了球。
１９４．生活（せいかつ）彼は忙しい生活を送っている   生活費が高いです                　健康的な生活を心がける（こころがける）
    生活               他过着忙碌的生活。               生活费很高。                   努力过健康的生活。
１９５．取り替える（とりかえる）　電池を取り替える   タイヤを取り替える               部屋のカーテンを取り替える
    更换               更换电池。                     更换轮胎。                     更换房间的窗帘。
１９６．いらっしゃる    先生がいらっしゃいます     お客様がいらっしゃいました         いらっしゃいませ
    欢迎               老师来了。                     客人来了。                     欢迎光临。
１９７．チェックする  　荷物をチェックする      　答えをチェックする                メールをチェックする
    检查               检查行李。                     检查答案。                     检查邮件。
１９８．楽しむ（たのしむ）音楽を楽しむ         　　旅行を楽しむ                　　　友達と楽しむ
    享受               享受音乐。                     享受旅行。                     和朋友一起享受。
１９９．用事（ようじ）　きょうはようじがある      用事で遅れる（おくれる）            彼は用事で出かけた（でかけた）
    事情               今天有事。                     因事迟到。                     他因有事出门了。
２００．すっかり      すっかり忘れた           すっかり元気になった              　すっかり暗くなった（くらくなった）
    完全               完全忘记了。                   完全恢复了。                   完全变暗了。
２０１．残る（のこる）　たべものが残る         　時間が残る                      　席が残る（せき）
    剩下               食物剩下。                     时间剩下。                     座位剩下。
２０２．無くなる（なくなる）　鍵が無くなった      お金が無くなる                 　　電池が無くなる
    消失               钥匙丢了。                     钱没了。                       电池没电了。
２０３．足りる（たりる）　お金が足りる           時間が足りない                    　食べ物が足りる
    足够               钱够用。                       时间不够。                     食物足够。
２０４．習慣（しゅうかん）彼は早起きの習慣がある　　習慣を変えるのは難しい          　　新しい習慣を身につける（みにつける）
    习惯               他有早起的习惯。               改变习惯很难。                 养成新的习惯。
２０５．訪ねる（たずねる）友達を訪ねる         　先生に訪ねる                     　親戚を訪ねる（しんせきを）
    拜访               拜访朋友。                     拜访老师。                     拜访亲戚。
２０６．見つける（みつける）　鍵を見つける       猫を見つける                       答えを見つける
    找到               找到钥匙。                     找到猫。                       找到答案。
２０７．このごろ        このごろさむいです     このごろ忙しい                   　このごろ疲れる（つかれる）
    最近               最近很冷。                     最近很忙。                     最近感到疲倦。
２０８．汚れる（よごれる）服が汚れた           くつが泥で汚れる（どろで）          　手が油で汚れた（あぶらで）
    脏                 衣服弄脏了。                   鞋子沾上泥。                     手沾上油。
２０９．開く（ひらく） 　窓を開けてください（あけて）  　本を開いて読む（ひらいてよむ）   花が開く（ひらく）
    打开               请打开窗户。                   打开书来读。                   花开。
２１０．泳ぎ方（およぎかた）彼は泳ぎ方を教えてくれた  　　泳ぎ方を覚えるのは簡単だ（おぼえるのは）　彼女は泳ぎ方が上手です
    游泳方式           他教了我游泳的方式。           记住游泳方式很简单。           她的游泳方式很好。
２１１．捨てる（すてる）　ごみを捨てる          古い服を捨てる                    食べ残しを捨てる（たべのこしをすてる）
    丢弃               丢垃圾。                       丢掉旧衣服。                    丢掉剩饭。
２１２．釣る（つる）    魚を釣る              川で釣る                          友達と釣る
    钓鱼               钓鱼。                         在河里钓鱼。                   和朋友一起钓鱼。
２１３．あげる         ほんをあげる          はなをあげる                      　アドバイスをあげる
    给予               送书。                         送花。                         给建议。
２１４．大体（だいたい）　大体の計画ができた（けいかくが）　大体七時に起きる          彼は大体正しい（ただしい）
    大致               大致计划完成了。               大致七点起床。               他大致正确。
２１５．写す（うつす）　手紙を写す           ノートに写す                      文章を写す（ぶんしょう）
    抄写               抄写信件。                     抄写笔记。                     抄写文章。
２１６．済む（すむ）　　仕事が済んだ（すんだ） 買い物が済む                  　　　宿題が済んだ（しゅくだい）
    完成               工作完成了。                   购物完成了。                   作业完成了。
２１７．見つかる（みつかる）鍵が見つかった   　猫が見つかりました                  彼は見つからない（みつからない）
    被找到             找到了钥匙。                   找到了猫。                   他找不到。
２１８．盛ん（さかん）　この町は商売が盛んだ（しょうばいが）　　  　彼の会社は盛んになった      盛んな観光地です（かんこうち）
    繁荣               这个城镇商业繁荣。               他的公司变得繁荣。             这是个繁荣的旅游地。
２１９．行う（おこなう）しけんをおこなう　　　　会議をおこなう                    調査を行う（ちょうさを）
    举行               举行考试。                     举行会议。                     进行调查。
２２０．集める（あつめる）　切手を集める（きって）　　情報を集める（じょうほう）       寄付を集める（きふを）
    收集               收集邮票。                     收集信息。                     收集捐款。
２２１．聞こえる（きこえる）　音楽が聞こえる      雨の音が聞こえる（あめのおと）     彼の声が聞こえる（かれのこえ）
    听到               听到音乐。                     听到雨声。                     听到他的声音。
２２２．生きる（いきる）    彼は強く生きる（つよくいきる）　　生きるために働く       生きる喜びを感じる（いきるよろこびを）
    生活               活得很坚强。                   为了生活而工作。               感受到生活的快乐。
２２３．これから       これから勉強します  これから寒くなります            これから出かけます
    接下来             接下来要学习。                 接下来会变冷。                 接下来要出门。
２２４．一度（いちど）　一度試してみて（いちどためしてみて）　　一度行ってみたい（いちどいってみたい） 　一度考え直す（いちどかんがえなおす）
    一次               试试看。                       想去一次。                     重新考虑一次。
２２５．終わり（おわり）　パーティーは終わりました       試験は終わりです        　　映画の終わりが悲しい（かなしい）
    结束               派对结束了。                   考试结束。                     电影的结尾很悲伤。
２２６．昼間（ひるま）　　昼間は暑いです            昼間に買い物に行きます     　　　昼間は働いています
    白天               白天很热。                     白天去购物。                   白天工作。
２２７．再来週（さらいしゅう）　再来週、東京へ行く        再来週の予定は     　再来週、試験がある
    下下周             下下周去东京。                 下下周的计划是。               下下周有考试。
２２８．暮れる（くれる）　　夕暮れ時に散歩する（ゆうぐれどき）　日が暮れるのが早い     暮れる前に帰る（かえる）
    黄昏               黄昏时散步。                   天黑得很早。                   在天黑之前回家。
２２９．最近（さいきん）　最近忙しい                  　最近天気が寒い        　　最近映画を見た
    最近               最近很忙。                     最近天气很冷。               最近看了电影。
２３０．とうとう　　　　　とうとう試験が終わった       　彼はとうとう来た       　　とうとう夏休みだ
    最终               终于考试结束了。               他终于来了。                   终于到了暑假。
２３１．時代（じだい）   江戸時代は長かった（えどじだい）  昭和時代は戦争があった（しょうわじだいはせんそうが）      平成時代は平和だった（へいせいじだいはへいわだった）
    时代               江户时代很长。                 昭和时代经历了战争。           平成时代很和平。
２３２．寝坊（ねぼう）　　今日寝坊した             　　寝坊が原因で遅刻した（ちこくした）　　　　　寝坊は良くない習慣だ（よくないしゅうかんだ）
    睡懒觉             今天睡过头了。                 因为睡懒觉而迟到了。           睡懒觉是个不好的习惯。
２３３．そろそろ        そろそろ行きましょう          そろそろ寝る時間だ           そろそろ春が来る
    该是的时候       该走了。                     该睡觉了。                     春天快来了。
２３４．予定（よてい）　　今日の予定は何ですか     　　　予定はわかりました           予定を立てる（たてる）
    计划               今天的计划是什么？           我知道计划了。               制定计划。
２３５．今夜（こんや）　　今夜は寒いです               今夜パーティーがあります     　今夜勉強します
    今晚               今晚很冷。                     今晚有派对。                   今晚学习。
２３６．間に合う（まにあう）　間に合った            　　間に合わない            　　間に合うかな
    赶上               赶上了。                       赶不上。                       能赶上吗？
２３７．さっき          さっき電話がかかってきた       さっき見た映画は面白いです   さっきのニュースを聞いた？
    刚才               刚才接到了电话。               刚才看的电影很有趣。         刚才的新闻听了吗？
２３８．再来月（さらいげつ）　再来月、引っ越す（ひっこす）  再来月、旅行する         再来月、誕生日だ
    下下个月           下下个月搬家。                   下下个月去旅行。             下下个月是生日。
２３９．遅れる（おくれる）　電車が遅れた               彼は会議に遅れる        　宿題を遅れて提出（ていしゅつ）
    迟到               火车晚点。                     他迟到了会议。                 作业延迟提交。
２４０．暫く（しばらく）　しばらく待ってください    　　　しばらくぶりですね        しばらく寝ます
    暂时               请稍等。                       好久不见。                     稍微睡一会儿。
２４１．将来（しょうらい）　将来何をしますか          　将来は医者になりたい     　彼女の将来が心配だ
    未来               将来要做什么？               想成为医生。                   她的未来让我担心。
２４２．もうすぐ        もうすぐ春です             　もうすぐ着きます（つきます）　もうすぐ終わります
    马上               马上春天就来了。               马上就会到达。               马上就要结束了。
２４３．明日          　明日は雨です                明日会いましょう       明日は休みです
    明天               明天会下雨。                   明天见。                     明天放假。
２４４．最初（さいしょ）　最初は難しい        　　　　最初に会った時         　最初からやり直す（やりなおす）
    最初               最初很难。                     第一次见面时。               从最初重新开始。
２４５．今度（こんど）　　今度の週末は暇ですか     　　　今度のパーティーに行きますか       今度の試験に合格しました（にごうかくしました）
    下次               这个周末有空吗？               要去下次的派对吗？           上次考试通过了。
２４６．この間　　　　　　この間、映画を見た          　この間、友達に会った     この間、新しいレストランに行った
    前几天             前几天看了电影。               前几天见了朋友。               前几天去了新的餐厅。
２４７．過ぎる（すぎる）　時間が過ぎる                 日が過ぎる（ひがすぎる）    　　期限が過ぎる（きげんがすぎる）
    经过               时间过去了。                   天过得快。                     截止日期到了。
２４８．ほとんど        ほとんど寝ていた              ほとんど食べない             ほとんど満員だ（まんいんだ）
    几乎               几乎在睡觉。                   几乎不吃。                     几乎满员。
２４９．足す（たす）    二つの数を足す（ふたつのかず）　　彼女は砂糖を足した（たした）  　時間を足してください
    加                 把两个数字相加。               她加了糖。                     请加时间。
２５０．いっぱい       コップがいっぱいです           部屋がいっぱいだ            　スケジュールがいっぱい
    满                 杯子满了。                     房间满了。                     日程很满。
２５１．増える（ふえる）　人口が増える（じんこうが）  　　利益が増える（りえきが）　　　　　仕事が増える
    增加               人口在增加。                   利润在增加。                   工作在增加。
２５２．割合（わりあい）　割合が高い                  割合を計算する（けいさんする）　　成功の割合（せいこうのわりあい）
    比率               比例很高。                     计算比率。                     成功的比例。
２５３．田舎（いなか）　　彼は田舎に住んでいる         　田舎の生活が好きだ（いなかのせいかつ）　　いなかに帰りたい（かえりたい）
    乡村               他住在乡下。                   喜欢乡村生活。                 想回乡下。
２５４．戻る（もどる）　　家に戻ります             　　仕事に戻る                   元の位置に戻る
    返回               回家。                       回到工作。                     返回原位。
２５５．探す（さがす）　　鍵を探す              　　友達を探す                    答えを探す（こたえをさがす）
    寻找               找钥匙。                     找朋友。                     找答案。
２５６．地理（ちり）　　　地理の勉強が好きです     　　地理の試験に合格しました      　　彼は地理の先生です
    地理               喜欢学习地理。                   通过了地理考试。              他是地理老师。
２５７．住所（じゅうしょ）住所を教えてください      彼の住所はわかりません           住所は変更しました（へんこうしました）
    地址               请告诉我地址。               我不知道他的地址。           地址已更改。
２５８．向かう（むかう）　駅に向かいます            家に向かって歩く（むかってあるく）　東京に向かう飛行機（むかうひこうき）
    前往               前往车站。                   朝家走去。                     飞往东京的飞机。
２５９．こう           こう言ってください      　　こうやって勉強する              こう考えるといい
    这样               请这样说。                   这样学习。                   这样想很好。
２６０．屋上（おくじょう）屋上で花火を見た（はなびをみた）屋上で昼寝をした          　屋上でバーベキューを楽しんだ（たのしんだ）
    屋顶               在屋顶看烟火。                   在屋顶午睡。                   在屋顶享受烧烤。
２６１．会場（かいじょう）会場に入る（はいる）     　会場を準備する（じゅんびする）     会場は広い（ひろい）
    会场               进入会场。                     准备会场。                     会场很大。
２６２．近所（きんじょ）　近所に住んでいます      　近所のスーパーへ行く             近所の公園で遊ぶ
    邻里               住在邻里。                     去邻里的超市。                 在邻里的公园玩。
２６３．ビル           あのビルは高い        　　新しいビルができた             　彼はビルのなかにいる
    大楼               那栋楼很高。                   新大楼建好了。                 他在大楼里。
２６４．回る（まわる）　　地球は回る（ちきゅう）     扇風機が回る（せんぷうきが）     　車輪が回る（しゃりんが）
    旋转               地球在转。                     风扇在转。                     轮子在转。
２６５．アフリカ        彼はアフリカに行った      アフリカは広い大陸です（たいりく）   アフリカの動物が好き
    非洲               他去了非洲。                   非洲是广阔的大陆。             喜欢非洲的动物。
２６６．大分（だいぶ）　　だいぶ疲れた             だいぶ遅れる（おくれる）        　大分良くなった（よくなった）
    相当               相当疲倦。                     相当晚了。                     恢复得相当好。
２６７．場所（ばしょ）　　駅の近くに場所がある     　場所を変えてみよう（かえてみよう）  この場所は静かだ（しずかだ）
    地方               车站附近有个地方。             我们换个地方试试。           这个地方很安静。
２６８．以内（いない） 　10分以内に来て         　　五人以内で行こう               １００円以内で買える
    以内               在10分钟以内到。             五个人以内去。               可以在100日元以内购得。
２６９．郊外（こうがい）　週末に郊外に行く           郊外の家が好きだ            　　郊外でピクニックを楽しむ
    郊区               周末去郊外。                   喜欢郊区的房子。               在郊外享受野餐。
２７０．遠く（とおく）　　遠くに山がある           遠くから来た                   　遠くへ行く
    远                 远处有山。                     从远处来。                     要去远方。
２７１．進む（すすむ）   電車が進む               道を進む                      勉強を進む
    前进               火车前进。                     走这条路。                     继续学习。
２７２．アジア     　　　彼はアジアに行った        アジア料理が好きです          　　アジアの国は多様性がある（たようせいがある）
    亚洲               他去了亚洲。                   喜欢亚洲料理。                 亚洲各国多样性丰富。
２７３．アメリカ        アメリカに行きたい       　彼はアメリカ人です          　　アメリカ料理が好きです
    美国               想去美国。                     他是美国人。                   喜欢美国料理。
２７４．周り（まわり）　　家の周りに木がある        駅の周りに店が多い            彼女は周りを見た
    周围               家的周围有树。                 车站周围有很多商店。         她看了周围。
２７５．通る（とおる） 　電車が通る（でんじゃがとおります）     　この道を通ってください           彼は橋を通った
    经过               火车经过。                     请走这条路。                   他过了桥。
２７６．床屋（とこや）　　床屋に行く              床屋で髪を切る（かみをきる）     床屋が閉まっている（しまっている）
    理发店             去理发店。                     在理发店剪头发。               理发店关门了。
２７７．下る（くだる）　　階段を下る              山を下る                    　　雨が下る
    下下               下楼梯。                       下山。                       下雨。
２７８．冷える（ひえる）　水が冷えた          　　部屋が冷える                　　　夜が冷える
    冷却               水凉了。                       房间变冷了。                   夜晚变冷。
２７９．ぬれる         雨で服がぬれた         　靴が水たまりでぬれる        　　　汗でシャツがぬれる（あせで）
    湿                 衣服被雨淋湿。                 鞋子在水洼中湿了。           衬衫被汗湿了。
２８０．季節（きせつ） 　春は美しい季節です（うつくしいきせつ）　暑は暑い季節です       冬は寒い季節です
    季节               春天是美丽的季节。           夏天是炎热的季节。           冬天是寒冷的季节。
２８１．天気予報（てんきよほう）　天気予報を見る        天気予報が正しい            明日の天気予報
    天气预报           查看天气预报。                 天气预报是准确的。           明天的天气预报。
２８２．止む（やむ）    雨がやむ                  　音がやむ                   痛みがやむ（いたみ）
    停止               雨停了。                       声音停了。                     疼痛停止。
２８３．降り出す（ふりだす）雨が降り出す              雪が降り出す                突然降り出す（とつぜん）
    开始下              开始下雨。                     开始下雪。                     突然开始下雨。
２８４．台風（たいふう）　台風が来る（くる）          台風で電車が止まる（とまる）台風の影響で遅れる（えいきょうでおくれる）
    台风               台风来了。                     台风导致火车停运。           由于台风的影响而延迟。
２８５．背中（せなか）　　彼の背中が高い（せなか）　　　背中にリュックを背負い（せおい）
    背部               他的背很高。                   背上背着背包。
２８６．具合（ぐあい）   具合が悪いです（わるい）     具合が良くなりました           具合はどうですか
    状态               身体不适。                     状态好转了。                   你的状态怎么样？
２８７．お見舞い（おみまい）　病院でお見舞いする       お見舞いに行く              お見舞いの品を持っていく
    看望               去医院看望。                   去看望病人。                   带去看望的礼物。
２８８．ひげ          　彼はひげをそる            ひげが長い（ながい）                   ひげが濃い（こい）
    胡子               他刮胡子。                     胡子很长。                     胡子很浓。
２８９．倒れる（たおれる）彼は疲れて倒れる       　　地震で家が倒れた              風で木が倒れた
    倒下               他累倒了。                     地震时房子倒了。               风把树吹倒了。
２９０．入院（にゅういん）彼は入院した         　　　入院期間は長い（にゅういんきかん）　明日、入院します
    住院               他住院了。                     住院时间很长。                 明天住院。
２９１．直る（なおる）間違いが直った              　病気が直る                  壊れたものが直る（こわれたもの）
    修复               错误已修正。                   疾病痊愈。                     坏掉的东西修好了。
２９２．歯医者（はいしゃ）歯医者に行く             歯医者が痛い                  歯医者で治療（ちりょう）
    牙医               去看牙医。                     牙痛。                       在牙医那里接受治疗。
２９３．看護師（かんごし）看護師は患者を助ける（かんじゃをたすける）　彼女は看護師です  看護師が薬を渡す（くすりをわたす）
    护士               护士帮助病人。                 她是护士。                     护士递药。
２９４．瘦せる（やせる）　彼は瘦せたい         　　　瘦せる方法を探す（さがす）      彼女は瘦せた
    减肥               他想变瘦。                     寻找变瘦的方法。               她瘦下来了。
２９５．太る（ふとる）　　彼は太りました            甘いもので太る             　　運動不足で太る（うんどうぶそく）
    发胖               他胖了。                       因为吃甜食而胖。             因缺乏锻炼而发胖。
２９６．治る（なおる）　　風邪が治った             怪我が治る（けががなおる）       病気が治る
    痊愈               感冒好了。                     伤愈合。                     疾病痊愈。
２９７．医学（いがく）　　彼は医学を勉強します     　医学の進歩は素晴らしい（しんぽはすばらしい）　彼女は医学部に入った（いがくぶにはいった）
    医学               他学习医学。                   医学的进步令人惊叹。         她进入了医学院。
２９８．退院（たいいん）　きょう、退院します        彼は退院した                　　退院の日が決まった（きまった）
    出院               今天出院。                     他出院了。                     出院的日期已决定。
２９９．注射（ちゅうしゃ）きょう　注射を打つ（うつ）　インフルエンザの注射        注射が痛かった
    注射               今天打针。                     流感疫苗注射。                 打针很痛。
３００．地震（じしん）　　地震が起こった（おこった）　地震で家が倒れた（たおれた）      地震に備える（そなえる）
    地震               发生了地震。                   地震导致房子倒塌。           为地震做好准备。
３０１．動物園（どうぶつえん）動物園に行こう 　　　動物園でライオンを見た          　彼は動物園で働いている
    动物园               去动物园。                     在动物园看到了狮子。               他在动物园工作。
３０２．小鳥（ことり）　　公園で小鳥を見た       　小鳥が歌っている               　彼女は小鳥を飼っている（かっている）
    小鸟                 在公园看到了小鸟。               小鸟在唱歌。                       她养着小鸟。
３０３．植える（うえる）　花を植える      　　　　　木を植える                      野菜を植える
    种植               种花。                          种树。                          种蔬菜。
３０４．火事（かじ）　　　火事が起こった          火事で家が焼けた（やけた）         火事を消す（けす）
    火灾               发生火灾了。                     火灾烧毁了房子。                    灭火。
３０５．景色（けしき）　　山の景色が美しい     　　海の景色を楽しむ                　公園からの景色がいい
    景色               山的景色很美。                 享受海的景色。                     从公园看到的景色很好。
３０６．焼ける（やける） 魚が焼ける              肉が焼ける                   　　パンが焼ける
    烧               鱼烧好了。                       肉烧好了。                       面包烤好了。
３０７．海岸（かいがん）　海岸で泳ぐ（およぐ）　　　海岸を散歩する（さんぽする）        美しい海岸
    海岸               在海岸游泳。                    在海岸散步。                     美丽的海岸。
３０８．空気（くうき）　　空気が澄んでいる　　　　　空気が読む                     　空気が乾燥している（かんそうしている）
    空气               空气很清新。                     空气可以呼吸。                       空气干燥。
３０９．光る（ひかる） 　太陽が光る（たいよう）　　星が光る（ほし）                 目が光る
    发光               太阳发光。                       星星在闪烁。                       眼睛发亮。
３１０．安心（あんしん）　彼女は安心しました　　　　安心してください              　　安心感がある
    安心               她安心了。                     请放心。                         有安心感。
３１１．恥ずかしい（はずかしい）彼女は恥ずかしがり屋だ（はずかしがりやだ）　恥ずかしい話だけど（はなしだけど）　　彼は恥ずかしい顔をした
    害羞               她是个害羞的人。               虽然是个让人害羞的故事。           他做了一个害羞的表情。
３１２．思う（おもう）　　彼はいい人だと思う      明日は雨だと思う        　　この料理は美味しいと思う
    认为               我认为他是好人。               我觉得明天会下雨。               我觉得这道菜很好吃。
３１３．残念（ざんねん）　残念な結果です（けっかです）彼の失敗は残念だ（しっぱいは）　　　残念ながら、雨が降る
    遗憾               这是个遗憾的结果。               他的失败令人遗憾。               遗憾的是，会下雨。
３１４．悲しい（かなしい）彼女は悲しいです       悲しい映画を見た            　　　　悲しい知らせがある（しらせがある）
    悲伤               她很悲伤。                     看了一部悲伤的电影。               有一个悲伤的消息。
３１５．思い出す（おもいだす）　彼の名前を思い出せない（おもいだせない）　その歌を思い出した（おもいだした）　　昔のことを思い出す（むかしのことをおもいだす）
    回忆               想不起他的名字。               想起了那首歌。                   回忆起过去的事情。
３１６．気持ち（きもち）　彼の気持ちが分かる      気持ちがいい天気だ           　　　彼女は気持ちを隠した（かくした）
    感情               理解他的感受。                 天气感觉很好。                  她隐藏了自己的感受。
３１７．驚く（おどろく）　彼の話に驚いた（おどろいた）　そのニュースに驚く                彼女の成績に驚く（せいせきにおどろく）
    吃惊               对他的故事感到吃惊。           对这个消息感到惊讶。              对她的成绩感到惊讶。
３１８．凄い（すごい）　　彼はすごい選手だ（せんしゅだ）　すごい風が吹いている（ふいている）　　彼女の料理は凄い美味しい
    厉害               他是一个很厉害的选手。         刮着很大的风。                   她的料理非常好吃。
３１９．怒る（おこる）　　彼は怒っている（おこっている）　先生が怒りました。              彼女は怒らない（おこらない）
    生气               他在生气。                     老师生气了。                     她不生气。
３２０．寂しい（さびしい）彼は寂しいです            　寂しい夜です                     寂しい部屋です
    寂寞               他感到寂寞。                   夜晚很寂寞。                   房间很寂寞。
３２１．笑う（わらう）　　彼はよく笑う               みんな笑った（わらった）          　彼女の冗談に笑う（かのじょのじょうだん）
    笑               他经常笑。                     大家都笑了。                     笑她的笑话。
３２２．喜ぶ（よろこぶ）　彼はプレゼントに喜んだ（よろこんだ）　子供たちは遊園地で喜ぶ（ゆうえんちで）　彼女は合格して喜んだ
    高兴               他因收到礼物而高兴。           孩子们在游乐场玩得很高兴。       她因通过考试而高兴。
３２３．ひどい　　　　　　彼の態度はひどい（たいどはひどい）　　ひどい風邪を引いた（ひいた）　　ひどい交通事故があった（こうつうじこがあった）
    糟糕               他的态度很糟糕。               感冒得很严重。                 发生了严重的交通事故。
３２４．気分（きぶん）　　気分がいい              　　気分が悪い（わるい）                気分が変わる（きぶんがかわる）
    心情               心情很好。                     心情不好。                     心情改变。
３２５．泣く（なく）　　　赤ちゃんが泣いている（ないている）彼女は悲しくて泣いた            　映画で泣いたことがある
    哭                 婴儿在哭。                     她因悲伤而哭泣。               看过电影而哭。
３２６．怖い（こわい） 　彼は怖い顔をしている           この映画は怖いです                怖い話を聞いた
    可怕               他有可怕的表情。               这部电影很可怕。               听到了可怕的故事。
３２７．眠い（ねむい）　　今日は眠いです               眠いから早く寝る                 仕事で眠い（ねむい）
    睡意               今天很困。                     因为困所以要早睡。               工作时很困。
３２８．お祭り（おまつり）お祭りが好きです           　お祭りに行きましょう             　お祭りは楽しい
    节日               喜欢节日。                     一起去节日吧。                   节日很快乐。
３２９．西洋（せいよう）　西洋料理が好きです        彼は西洋史を勉強している           西洋音楽は人気がある
    西方               喜欢西方料理。                 他学习西方历史。                 西方音乐很受欢迎。
３３０．着物（きもの）　　彼女は着物を着ている（きている）着物は日本の伝統的な服です（にほんのでんとうてきな）　着物を買いたい（かいたい）
    和服               她穿着和服。                   和服是日本的传统服装。             想买和服。
３３１．文化（ぶんか）　　日本の文化が好き           　文化祭は楽しい（ぶんかさい）文化节有趣   　　文化の違いを学ぶ（まなぶ）
    文化               喜欢日本文化。                 文化节很有趣。                   学习文化差异。
３３２．神社（じんじゃ）　神社でお参りする（おまいりする）神社に行く予定です                      神社でお祭りがある
    神社               去神社参拜。                   计划去神社。                     神社有节日。
３３３．お祝い（おいわい）誕生日はお祝いをする         　結婚のお祝いを贈る（おくる）             卒業のお祝いパーティー（そつぎょう）
    庆祝               过生日庆祝。                   送上结婚的祝福。                   毕业庆祝派对。
３３４．花見（はなみ）　　週末は花見に行く             花見の季節が好き                      　公園で花見を楽しむ
    赏樱               周末去赏樱。                   喜欢赏樱的季节。                   在公园享受赏樱。
３３５．揺れる（ゆれる）　電車が揺れる             　　木が揺れる                     　　　　　橋が揺れる
    摇晃               火车在摇晃。                   树在摇晃。                     桥在摇晃。
３３６．止める（とめる）　電車を止める                音楽を止める                   　　　　　時計を止める
    停止               停止火车。                     停止音乐。                     停止钟表。
３３７．変える（かえる）　髪型を変える（かみがたをかえる）計画を変える（けいかくを）                意見を変える（いけんを）
    改变               改变发型。                     改变计划。                     改变意见。
３３８．立てる（たてる）　旗を立てる（はたを）         看板を立てる                          　計画を立てる（けいかくを）
    立起               竖起旗帜。                     立起招牌。                     制定计划。
３３９．負ける（まける）　試合に負けた（しあいに）      彼に負けるな                       　　　勉強で負けたくない
    输                 输掉比赛。                     不要输给他。                     不想在学习上失败。
３４０．折れる（おれる）　鉛筆が折れた             　枝が折れる（えだが）                     足を折れる（あしを）
    折断               铅笔折断了。                   树枝折断了。                     把腿折了。
３４１．引き出す（ひきだす）　お金を引き出す          情報を引き出す（じょうほうを）             才能を引き出す（さいのうを）
    提取               提现。                       提取信息。                     发掘才能。
３４２．踏む（ふむ）　　　足を踏む                  地雷を踏む（じらいを）                  　ブレーキを踏む
    踩                 踩到脚。                       踩到地雷。                     踩刹车。
